study,year,pub_year,country,iso3,group,gender,or,authors,title,journal,doi,study_stage,lat,lon,update_date,area
Ahmed and Hammarstedt (2008),2007,2008,Sweden,SWE,Arabic/Muslim,Both,0.247,"Ali M. Ahmed, Mats Hammarstedt",Discrimination in the rental housing market: A field experiment on the Internet,Journal of Urban Economics,10.1016/j.jue.2008.02.004,Completed,,,,
Carlsson and Eriksson (2014),2011,2014,Sweden,SWE,Arabic/Muslim,Female,0.617,"Magnus Carlsson, Stefan Eriksson",Discrimination in the rental market for apartments,Journal of Housing Economics,10.1016/j.jhe.2013.11.004,Completed,,,,
Carlsson and Eriksson (2014),2011,2014,Sweden,SWE,Arabic/Muslim,Male,0.459,"Magnus Carlsson, Stefan Eriksson",Discrimination in the rental market for apartments,Journal of Housing Economics,10.1016/j.jhe.2013.11.004,Completed,,,,
Carlsson and Eriksson (2014),2011,2014,Sweden,SWE,Arabic/Muslim,Both,0.56,"Magnus Carlsson, Stefan Eriksson",Discrimination in the rental market for apartments,Journal of Housing Economics,10.1016/j.jhe.2013.11.004,Completed,,,,
Carlsson and Eriksson (2015),2012,2015,UK,GBR,Eastern European,Male,0.851,"Magnus Carlsson, Stefan Eriksson",Ethnic Discrimination in the London Market for Shared Housing,Journal of Ethnic and Migration Studies,10.1080/1369183X.2014.965670,Completed,,,,
Carlsson and Eriksson (2015),2012,2015,UK,GBR,Asian,Male,0.643,"Magnus Carlsson, Stefan Eriksson",Ethnic Discrimination in the London Market for Shared Housing,Journal of Ethnic and Migration Studies,10.1080/1369183X.2014.965670,Completed,,,,
Carlsson and Eriksson (2015),2012,2015,UK,GBR,Black/African,Male,0.617,"Magnus Carlsson, Stefan Eriksson",Ethnic Discrimination in the London Market for Shared Housing,Journal of Ethnic and Migration Studies,10.1080/1369183X.2014.965670,Completed,,,,
Carlsson and Eriksson (2015),2012,2015,UK,GBR,Arabic/Muslim,Male,0.442,"Magnus Carlsson, Stefan Eriksson",Ethnic Discrimination in the London Market for Shared Housing,Journal of Ethnic and Migration Studies,10.1080/1369183X.2014.965670,Completed,,,,
Antfolk et al. (2019),2018,2019,UK,GBR,Arabic/Muslim,Female,0.648,"Jan Antfolk, Anna Szala, Annamaria Öblom",Discrimination based on gender and ethnicity in English and Polish housing markets,Journal of Community & Applied Social Psychology,10.1002/casp.2396,Completed,,,,
Antfolk et al. (2019),2018,2019,UK,GBR,Eastern European,Female,0.795,"Jan Antfolk, Anna Szala, Annamaria Öblom",Discrimination based on gender and ethnicity in English and Polish housing markets,Journal of Community & Applied Social Psychology,10.1002/casp.2396,Completed,,,,
Antfolk et al. (2019),2018,2019,UK,GBR,Arabic/Muslim,Male,0.648,"Jan Antfolk, Anna Szala, Annamaria Öblom",Discrimination based on gender and ethnicity in English and Polish housing markets,Journal of Community & Applied Social Psychology,10.1002/casp.2396,Completed,,,,
Antfolk et al. (2019),2018,2019,UK,GBR,Eastern European,Male,0.538,"Jan Antfolk, Anna Szala, Annamaria Öblom",Discrimination based on gender and ethnicity in English and Polish housing markets,Journal of Community & Applied Social Psychology,10.1002/casp.2396,Completed,,,,
Antfolk et al. (2019),2018,2019,UK,GBR,Arabic/Muslim,Both,0.937,"Jan Antfolk, Anna Szala, Annamaria Öblom",Discrimination based on gender and ethnicity in English and Polish housing markets,Journal of Community & Applied Social Psychology,10.1002/casp.2396,Completed,,,,
Antfolk et al. (2019),2018,2019,UK,GBR,Eastern European,Both,0.937,"Jan Antfolk, Anna Szala, Annamaria Öblom",Discrimination based on gender and ethnicity in English and Polish housing markets,Journal of Community & Applied Social Psychology,10.1002/casp.2396,Completed,,,,
Antfolk et al. (2019),2018,2019,Poland,POL,Arabic/Muslim,Female,0.701,"Jan Antfolk, Anna Szala, Annamaria Öblom",Discrimination based on gender and ethnicity in English and Polish housing markets,Journal of Community & Applied Social Psychology,10.1002/casp.2396,Completed,,,,
Antfolk et al. (2019),2018,2019,Poland,POL,English,Female,0.905,"Jan Antfolk, Anna Szala, Annamaria Öblom",Discrimination based on gender and ethnicity in English and Polish housing markets,Journal of Community & Applied Social Psychology,10.1002/casp.2396,Completed,,,,
Antfolk et al. (2019),2018,2019,Poland,POL,Arabic/Muslim,Male,0.204,"Jan Antfolk, Anna Szala, Annamaria Öblom",Discrimination based on gender and ethnicity in English and Polish housing markets,Journal of Community & Applied Social Psychology,10.1002/casp.2396,Completed,,,,
Antfolk et al. (2019),2018,2019,Poland,POL,English,Male,0.738,"Jan Antfolk, Anna Szala, Annamaria Öblom",Discrimination based on gender and ethnicity in English and Polish housing markets,Journal of Community & Applied Social Psychology,10.1002/casp.2396,Completed,,,,
Antfolk et al. (2019),2018,2019,Poland,POL,Arabic/Muslim,Both,0.411,"Jan Antfolk, Anna Szala, Annamaria Öblom",Discrimination based on gender and ethnicity in English and Polish housing markets,Journal of Community & Applied Social Psychology,10.1002/casp.2396,Completed,,,,
Antfolk et al. (2019),2018,2019,Poland,POL,English,Both,0.818,"Jan Antfolk, Anna Szala, Annamaria Öblom",Discrimination based on gender and ethnicity in English and Polish housing markets,Journal of Community & Applied Social Psychology,10.1002/casp.2396,Completed,,,,
Ahmed et al. (2010),2008,2010,Sweden,SWE,Arabic/Muslim,Male,0.575,"Ali M. Ahmed, Lina Andersson, Mats Hammarstedt",Can Discrimination in the Housing Market Be Reduced by Increasing the Information about the Applicants?,Land Economics,10.3368/le.86.1.79,Completed,,,,
Carpusor and Loges (2006),2003,2006,USA,USA,Black/African,Male,0.188,"Adrian G. Carpusor, William E. Loges",Rental Discrimination and Ethnicity in Names,Journal of Applied Social Psychology,10.1111/j.0021-9029.2006.00050.x,Completed,,,,
Carpusor and Loges (2006),2003,2006,USA,USA,Arabic/Muslim,Male,0.285,"Adrian G. Carpusor, William E. Loges",Rental Discrimination and Ethnicity in Names,Journal of Applied Social Psychology,10.1111/j.0021-9029.2006.00050.x,Completed,,,,
Hanson and Hawley (2011),2009,2011,USA,USA,Black/African,Male,0.775,"Andrew Hanson, Zackary Hawley",Do landlords discriminate in the rental housing market? Evidence from an internet field experiment in US cities,Journal of Urban Economics,10.1016/j.jue.2011.02.003,Completed,,,,
Feldman and Weseley (2013),2010,2013,USA,USA,Black/African,Female,0.949,"Michelle E. Feldman, Allyson J. Weseley",Which name unlocks the door? The effect of tenant race/ethnicity on landlord response,Journal of Applied Social Psychology,10.1111/jasp.12034,Completed,,,,
Feldman and Weseley (2013),2010,2013,USA,USA,Asian,Female,0.91,"Michelle E. Feldman, Allyson J. Weseley",Which name unlocks the door? The effect of tenant race/ethnicity on landlord response,Journal of Applied Social Psychology,10.1111/jasp.12034,Completed,,,,
Feldman and Weseley (2013),2010,2013,USA,USA,Hispanic/Latino,Female,0.662,"Michelle E. Feldman, Allyson J. Weseley",Which name unlocks the door? The effect of tenant race/ethnicity on landlord response,Journal of Applied Social Psychology,10.1111/jasp.12034,Completed,,,,
Feldman and Weseley (2013),2010,2013,USA,USA,Black/African,Male,0.365,"Michelle E. Feldman, Allyson J. Weseley",Which name unlocks the door? The effect of tenant race/ethnicity on landlord response,Journal of Applied Social Psychology,10.1111/jasp.12034,Completed,,,,
Feldman and Weseley (2013),2010,2013,USA,USA,Asian,Male,0.762,"Michelle E. Feldman, Allyson J. Weseley",Which name unlocks the door? The effect of tenant race/ethnicity on landlord response,Journal of Applied Social Psychology,10.1111/jasp.12034,Completed,,,,
Feldman and Weseley (2013),2010,2013,USA,USA,Hispanic/Latino,Male,0.426,"Michelle E. Feldman, Allyson J. Weseley",Which name unlocks the door? The effect of tenant race/ethnicity on landlord response,Journal of Applied Social Psychology,10.1111/jasp.12034,Completed,,,,
Feldman and Weseley (2013),2010,2013,USA,USA,Black/African,Both,0.818,"Michelle E. Feldman, Allyson J. Weseley",Which name unlocks the door? The effect of tenant race/ethnicity on landlord response,Journal of Applied Social Psychology,10.1111/jasp.12034,Completed,,,,
Feldman and Weseley (2013),2010,2013,USA,USA,Asian,Both,1.147,"Michelle E. Feldman, Allyson J. Weseley",Which name unlocks the door? The effect of tenant race/ethnicity on landlord response,Journal of Applied Social Psychology,10.1111/jasp.12034,Completed,,,,
Feldman and Weseley (2013),2010,2013,USA,USA,Hispanic/Latino,Both,0.732,"Michelle E. Feldman, Allyson J. Weseley",Which name unlocks the door? The effect of tenant race/ethnicity on landlord response,Journal of Applied Social Psychology,10.1111/jasp.12034,Completed,,,,
Hanson and Santas (2014),2011,2014,USA,USA,Hispanic/Latino,Male,0.639,"Andrew Hanson, Michael Santas",Field Experiment Tests for Discrimination against Hispanics in the U.S. Rental Housing Market,Southern Economic Journal,10.4284/0038-4038-2012.231,Completed,,,,
Ewens et al. (2014),2009,2014,USA,USA,Black/African,Both,0.742,"Michael Ewens, Bryan Tomlin, Liang Choon Wang",Statistical Discrimination or Prejudice? A Large Sample Field Experiment,Review of Economics and Statistics,10.1162/REST_a_00365,Completed,,,,
Murchie and Pang (2018),2016,2018,USA,USA,Black/African,Female,0.684,"Judson Murchie, Jindong Pang",Rental housing discrimination across protected classes: Evidence from a randomized experiment,Regional Science and Urban Economics,10.1016/j.regsciurbeco.2018.10.003,Completed,,,,
Murchie and Pang (2018),2016,2018,USA,USA,Hispanic/Latino,Female,0.971,"Judson Murchie, Jindong Pang",Rental housing discrimination across protected classes: Evidence from a randomized experiment,Regional Science and Urban Economics,10.1016/j.regsciurbeco.2018.10.003,Completed,,,,
Murchie and Pang (2018),2016,2018,USA,USA,Arabic/Muslim,Female,0.947,"Judson Murchie, Jindong Pang",Rental housing discrimination across protected classes: Evidence from a randomized experiment,Regional Science and Urban Economics,10.1016/j.regsciurbeco.2018.10.003,Completed,,,,
Murchie and Pang (2018),2016,2018,USA,USA,Black/African,Male,0.732,"Judson Murchie, Jindong Pang",Rental housing discrimination across protected classes: Evidence from a randomized experiment,Regional Science and Urban Economics,10.1016/j.regsciurbeco.2018.10.003,Completed,,,,
Murchie and Pang (2018),2016,2018,USA,USA,Hispanic/Latino,Male,1.163,"Judson Murchie, Jindong Pang",Rental housing discrimination across protected classes: Evidence from a randomized experiment,Regional Science and Urban Economics,10.1016/j.regsciurbeco.2018.10.003,Completed,,,,
Murchie and Pang (2018),2016,2018,USA,USA,Arabic/Muslim,Male,0.535,"Judson Murchie, Jindong Pang",Rental housing discrimination across protected classes: Evidence from a randomized experiment,Regional Science and Urban Economics,10.1016/j.regsciurbeco.2018.10.003,Completed,,,,
Murchie and Pang (2018),2016,2018,USA,USA,Black/African,Both,0.751,"Judson Murchie, Jindong Pang",Rental housing discrimination across protected classes: Evidence from a randomized experiment,Regional Science and Urban Economics,10.1016/j.regsciurbeco.2018.10.003,Completed,,,,
Murchie and Pang (2018),2016,2018,USA,USA,Hispanic/Latino,Both,1.061,"Judson Murchie, Jindong Pang",Rental housing discrimination across protected classes: Evidence from a randomized experiment,Regional Science and Urban Economics,10.1016/j.regsciurbeco.2018.10.003,Completed,,,,
Murchie and Pang (2018),2016,2018,USA,USA,Arabic/Muslim,Both,0.804,"Judson Murchie, Jindong Pang",Rental housing discrimination across protected classes: Evidence from a randomized experiment,Regional Science and Urban Economics,10.1016/j.regsciurbeco.2018.10.003,Completed,,,,
Sawert (2020),2017,2020,Germany,DEU,Turkish/Muslim,Male,0.464,Tim Sawert,"Understanding the mechanisms of ethnic discrimination: a field experiment on discrimination against Turks, Syrians and Americans in the Berlin shared housing market",Journal of Ethnic and Migration Studies,10.1080/1369183X.2019.1577727,Completed,,,,
Sawert (2020),2017,2020,Germany,DEU,Syrian/Muslim,Male,0.254,Tim Sawert,"Understanding the mechanisms of ethnic discrimination: a field experiment on discrimination against Turks, Syrians and Americans in the Berlin shared housing market",Journal of Ethnic and Migration Studies,10.1080/1369183X.2019.1577727,Completed,,,,
Sawert (2020),2017,2020,Germany,DEU,American,Male,0.693,Tim Sawert,"Understanding the mechanisms of ethnic discrimination: a field experiment on discrimination against Turks, Syrians and Americans in the Berlin shared housing market",Journal of Ethnic and Migration Studies,10.1080/1369183X.2019.1577727,Completed,,,,
Auspurg et al. (2017),2008,2017,Germany,DEU,Turkish/Muslim,Male,0.675,"Katrin Auspurg, Thomas Hinz, Laura Schmid",Contexts and conditions of ethnic discrimination: Evidence from a field experiment in a German housing market,Journal of Housing Economics,10.1016/j.jhe.2017.01.003,Completed,,,,
Auspurg et al. (2020),2015,2020,Germany,DEU,Turkish/Muslim,Male,0.646,"Auspurg, K., Schneck, A. and Thiel, F.","Different samples, different results? How sampling techniques affect the results of field experiments on ethnic discrimination",Research in Social Stratification and Mobility,,Completed,,,,
Mazziotta et al. (2015),2014,2015,Germany,DEU,Turkish/Muslim,Male,0.401,"Agostino Mazziotta, Michael Zerr, Anette Rohmann",The Effects of Multiple Stigmas on Discrimination in the German Housing Market,Social Psychology,10.1027/1864-9335/a000242,Completed,,,,
Bosch et al. (2010),2009,2010,Spain,ESP,Moroccan,Both,0.578,"Mariano Bosch, M. Ángeles Carnero, Lídia Farré",Information and discrimination in the rental housing market: Evidence from a field experiment,Regional Science and Urban Economics,10.1016/j.regsciurbeco.2009.11.002,Completed,,,,
Öblom and Antfolk (2017),2016,2017,Finland,FIN,Swedish,Female,0.958,"Annamaria Öblom, Jan Antfolk",Ethnic and gender discrimination in the private rental housing market in Finland: A field experiment,PLoS ONE,10.1371/journal.pone.0183344,Completed,,,,
Öblom and Antfolk (2017),2016,2017,Finland,FIN,Arabic/Muslim,Female,0.636,"Annamaria Öblom, Jan Antfolk",Ethnic and gender discrimination in the private rental housing market in Finland: A field experiment,PLoS ONE,10.1371/journal.pone.0183344,Completed,,,,
Öblom and Antfolk (2017),2016,2017,Finland,FIN,Swedish,Male,0.911,"Annamaria Öblom, Jan Antfolk",Ethnic and gender discrimination in the private rental housing market in Finland: A field experiment,PLoS ONE,10.1371/journal.pone.0183344,Completed,,,,
Öblom and Antfolk (2017),2016,2017,Finland,FIN,Arabic/Muslim,Male,0.294,"Annamaria Öblom, Jan Antfolk",Ethnic and gender discrimination in the private rental housing market in Finland: A field experiment,PLoS ONE,10.1371/journal.pone.0183344,Completed,,,,
Öblom and Antfolk (2017),2016,2017,Finland,FIN,Swedish,Both,1.04,"Annamaria Öblom, Jan Antfolk",Ethnic and gender discrimination in the private rental housing market in Finland: A field experiment,PLoS ONE,10.1371/journal.pone.0183344,Completed,,,,
Öblom and Antfolk (2017),2016,2017,Finland,FIN,Arabic/Muslim,Both,0.504,"Annamaria Öblom, Jan Antfolk",Ethnic and gender discrimination in the private rental housing market in Finland: A field experiment,PLoS ONE,10.1371/journal.pone.0183344,Completed,,,,
Andersson et al. (2012),2010,2012,Norway,NOR,Arabic/Muslim,Female,0.579,"Lisa Andersson, Niklas Jakobsson, Andreas Kotsadam","A Field Experiment of Discrimination in the Norwegian Housing Market: Gender, Class, and Ethnicity",Land Economics,10.3368/le.88.2.233,Completed,,,,
Andersson et al. (2012),2010,2012,Norway,NOR,Arabic/Muslim,Male,0.45,"Lisa Andersson, Niklas Jakobsson, Andreas Kotsadam","A Field Experiment of Discrimination in the Norwegian Housing Market: Gender, Class, and Ethnicity",Land Economics,10.3368/le.88.2.233,Completed,,,,
Andersson et al. (2012),2010,2012,Norway,NOR,Arabic/Muslim,Both,0.596,"Lisa Andersson, Niklas Jakobsson, Andreas Kotsadam","A Field Experiment of Discrimination in the Norwegian Housing Market: Gender, Class, and Ethnicity",Land Economics,10.3368/le.88.2.233,Completed,,,,
Björnsson et al. (2018),2017,2018,Iceland,ISL,Eastern European,Female,0.967,"Davíð Freyr Björnsson, Fredrik Kopsch, Gylfi Zoega",Discrimination in the Housing Market as an Impediment to European Labour Force Integration: the Case of Iceland,Journal of International Migration and Integration,10.1007/s12134-018-0574-0,Completed,,,,
Björnsson et al. (2018),2017,2018,Iceland,ISL,Eastern European,Male,0.46,"Davíð Freyr Björnsson, Fredrik Kopsch, Gylfi Zoega",Discrimination in the Housing Market as an Impediment to European Labour Force Integration: the Case of Iceland,Journal of International Migration and Integration,10.1007/s12134-018-0574-0,Completed,,,,
Björnsson et al. (2018),2017,2018,Iceland,ISL,Eastern European,Both,0.748,"Davíð Freyr Björnsson, Fredrik Kopsch, Gylfi Zoega",Discrimination in the Housing Market as an Impediment to European Labour Force Integration: the Case of Iceland,Journal of International Migration and Integration,10.1007/s12134-018-0574-0,Completed,,,,
Hogan and Berry (2011),2007,2011,Canada,CAN,Black/African,Female,0.854,"Bernie Hogan, Brent Berry",Racial and Ethnic Biases in Rental Housing: An Audit Study of Online Apartment Listings,City & Community,10.1111/j.1540-6040.2011.01376.x,Completed,,,,
Hogan and Berry (2011),2007,2011,Canada,CAN,Arabic/Muslim,Female,0.812,"Bernie Hogan, Brent Berry",Racial and Ethnic Biases in Rental Housing: An Audit Study of Online Apartment Listings,City & Community,10.1111/j.1540-6040.2011.01376.x,Completed,,,,
Hogan and Berry (2011),2007,2011,Canada,CAN,Asian,Female,1.057,"Bernie Hogan, Brent Berry",Racial and Ethnic Biases in Rental Housing: An Audit Study of Online Apartment Listings,City & Community,10.1111/j.1540-6040.2011.01376.x,Completed,,,,
Hogan and Berry (2011),2007,2011,Canada,CAN,Jewish,Female,1.0,"Bernie Hogan, Brent Berry",Racial and Ethnic Biases in Rental Housing: An Audit Study of Online Apartment Listings,City & Community,10.1111/j.1540-6040.2011.01376.x,Completed,,,,
Hogan and Berry (2011),2007,2011,Canada,CAN,Black/African,Male,0.773,"Bernie Hogan, Brent Berry",Racial and Ethnic Biases in Rental Housing: An Audit Study of Online Apartment Listings,City & Community,10.1111/j.1540-6040.2011.01376.x,Completed,,,,
Hogan and Berry (2011),2007,2011,Canada,CAN,Arabic/Muslim,Male,0.586,"Bernie Hogan, Brent Berry",Racial and Ethnic Biases in Rental Housing: An Audit Study of Online Apartment Listings,City & Community,10.1111/j.1540-6040.2011.01376.x,Completed,,,,
Hogan and Berry (2011),2007,2011,Canada,CAN,Asian,Male,0.773,"Bernie Hogan, Brent Berry",Racial and Ethnic Biases in Rental Housing: An Audit Study of Online Apartment Listings,City & Community,10.1111/j.1540-6040.2011.01376.x,Completed,,,,
Hogan and Berry (2011),2007,2011,Canada,CAN,Jewish,Male,1.0,"Bernie Hogan, Brent Berry",Racial and Ethnic Biases in Rental Housing: An Audit Study of Online Apartment Listings,City & Community,10.1111/j.1540-6040.2011.01376.x,Completed,,,,
Hogan and Berry (2011),2007,2011,Canada,CAN,Black/African,Both,0.834,"Bernie Hogan, Brent Berry",Racial and Ethnic Biases in Rental Housing: An Audit Study of Online Apartment Listings,City & Community,10.1111/j.1540-6040.2011.01376.x,Completed,,,,
Hogan and Berry (2011),2007,2011,Canada,CAN,Arabic/Muslim,Both,0.706,"Bernie Hogan, Brent Berry",Racial and Ethnic Biases in Rental Housing: An Audit Study of Online Apartment Listings,City & Community,10.1111/j.1540-6040.2011.01376.x,Completed,,,,
Hogan and Berry (2011),2007,2011,Canada,CAN,Asian,Both,0.924,"Bernie Hogan, Brent Berry",Racial and Ethnic Biases in Rental Housing: An Audit Study of Online Apartment Listings,City & Community,10.1111/j.1540-6040.2011.01376.x,Completed,,,,
Hogan and Berry (2011),2007,2011,Canada,CAN,Jewish,Both,1.028,"Bernie Hogan, Brent Berry",Racial and Ethnic Biases in Rental Housing: An Audit Study of Online Apartment Listings,City & Community,10.1111/j.1540-6040.2011.01376.x,Completed,,,,
Gusciute et al. (2022),2018,2022,Ireland,IRL,Eastern European,Female,0.786,"Egle Gusciute, Peter Mühlau, Richard Layte",Discrimination in the rental housing market: a field experiment in Ireland,Journal of Ethnic and Migration Studies,10.1080/1369183X.2020.1813017,Completed,,,,
Gusciute et al. (2022),2018,2022,Ireland,IRL,Black/African,Female,0.471,"Egle Gusciute, Peter Mühlau, Richard Layte",Discrimination in the rental housing market: a field experiment in Ireland,Journal of Ethnic and Migration Studies,10.1080/1369183X.2020.1813017,Completed,,,,
Gusciute et al. (2022),2018,2022,Ireland,IRL,Eastern European,Male,0.587,"Egle Gusciute, Peter Mühlau, Richard Layte",Discrimination in the rental housing market: a field experiment in Ireland,Journal of Ethnic and Migration Studies,10.1080/1369183X.2020.1813017,Completed,,,,
Gusciute et al. (2022),2018,2022,Ireland,IRL,Black/African,Male,0.37,"Egle Gusciute, Peter Mühlau, Richard Layte",Discrimination in the rental housing market: a field experiment in Ireland,Journal of Ethnic and Migration Studies,10.1080/1369183X.2020.1813017,Completed,,,,
Gusciute et al. (2022),2018,2022,Ireland,IRL,Eastern European,Both,0.766,"Egle Gusciute, Peter Mühlau, Richard Layte",Discrimination in the rental housing market: a field experiment in Ireland,Journal of Ethnic and Migration Studies,10.1080/1369183X.2020.1813017,Completed,,,,
Gusciute et al. (2022),2018,2022,Ireland,IRL,Black/African,Both,0.47,"Egle Gusciute, Peter Mühlau, Richard Layte",Discrimination in the rental housing market: a field experiment in Ireland,Journal of Ethnic and Migration Studies,10.1080/1369183X.2020.1813017,Completed,,,,
Baldini and Federici (2011),2010,2011,Italy,ITA,Arabic/Muslim,Female,0.619,"Massimo Baldini, Marta Federici",Ethnic discrimination in the Italian rental housing market,Journal of Housing Economics,10.1016/j.jhe.2010.10.001,Completed,,,,
Baldini and Federici (2011),2010,2011,Italy,ITA,Eastern European,Female,0.665,"Massimo Baldini, Marta Federici",Ethnic discrimination in the Italian rental housing market,Journal of Housing Economics,10.1016/j.jhe.2010.10.001,Completed,,,,
Baldini and Federici (2011),2010,2011,Italy,ITA,Arabic/Muslim,Male,0.339,"Massimo Baldini, Marta Federici",Ethnic discrimination in the Italian rental housing market,Journal of Housing Economics,10.1016/j.jhe.2010.10.001,Completed,,,,
Baldini and Federici (2011),2010,2011,Italy,ITA,Eastern European,Male,0.484,"Massimo Baldini, Marta Federici",Ethnic discrimination in the Italian rental housing market,Journal of Housing Economics,10.1016/j.jhe.2010.10.001,Completed,,,,
Baldini and Federici (2011),2010,2011,Italy,ITA,Arabic/Muslim,Both,0.49,"Massimo Baldini, Marta Federici",Ethnic discrimination in the Italian rental housing market,Journal of Housing Economics,10.1016/j.jhe.2010.10.001,Completed,,,,
Baldini and Federici (2011),2010,2011,Italy,ITA,Eastern European,Both,0.604,"Massimo Baldini, Marta Federici",Ethnic discrimination in the Italian rental housing market,Journal of Housing Economics,10.1016/j.jhe.2010.10.001,Completed,,,,
"Molla, H., et al. (2022)",2017,2022,Sweden,SWE,Arabic/Muslim,Male,0.467,"Hemrin Molla, Caroline Rhawi, Elina Lampi",Name matters! The cost of having a foreign-sounding name in the Swedish private housing market,PLOS ONE,10.1371/journal.pone.0268840,Completed,,,,
"Molla, H., et al. (2022)",2017,2022,Sweden,SWE,Eastern European,Male,0.703,"Hemrin Molla, Caroline Rhawi, Elina Lampi",Name matters! The cost of having a foreign-sounding name in the Swedish private housing market,PLOS ONE,10.1371/journal.pone.0268840,Completed,,,,
"Molla, H., et al. (2022)",2017,2022,Sweden,SWE,Asian,Male,0.703,"Hemrin Molla, Caroline Rhawi, Elina Lampi",Name matters! The cost of having a foreign-sounding name in the Swedish private housing market,PLOS ONE,10.1371/journal.pone.0268840,Completed,,,,
"Moritz, R. and C. Manger (2022)",2019,2022,Germany,DEU,Turkish/Muslim,Female,0.579,"Raphael Moritz, Christian Manger",Somebody that I want to know: The non-monotonic effect of personality information on ethnic and gender discrimination in the market for shared housing,Journal of Housing Economics,10.1016/j.jhe.2022.101842,Completed,,,,
"Moritz, R. and C. Manger (2022)",2019,2022,Germany,DEU,Turkish/Muslim,Male,0.308,"Raphael Moritz, Christian Manger",Somebody that I want to know: The non-monotonic effect of personality information on ethnic and gender discrimination in the market for shared housing,Journal of Housing Economics,10.1016/j.jhe.2022.101842,Completed,,,,
"Moritz, R. and C. Manger (2022)",2019,2022,Germany,DEU,Turkish/Muslim,Both,0.545,"Raphael Moritz, Christian Manger",Somebody that I want to know: The non-monotonic effect of personality information on ethnic and gender discrimination in the market for shared housing,Journal of Housing Economics,10.1016/j.jhe.2022.101842,Completed,,,,
Bengtsson et al. (2012),2010,2012,Sweden,SWE,Arabic/Muslim,Female,0.637,"Ragnar Bengtsson, Ellis Iverman, Björn Tyrefors Hinnerich",Gender and ethnic discrimination in the rental housing market,Applied Economics Letters,10.1080/13504851.2011.564125,Completed,,,,
